marketing_year,quarter_period,beginning_stocks,production,imports,total_supply,industrial_use,seed_use,feed_residual,total_domestic_use,exports,total_use,ending_stocks
2000/01,Q1 September-November,1717.549,9915.051,1.292,11633.892,472.42,0,2125.163,2597.583,506.675,3104.258,8529.634
2000/01,Q2 December-February,8529.634,0,0.911,8530.545,470.293,0,1601.966,2072.259,415.287,2487.546,6042.999
2000/01,Q3 March-May,6042.999,0,3.123,6046.122,500.542,21.71,1144.723,1666.975,455.189,2122.164,3923.958
2000/01,Q4 June-August,3923.958,0,1.498,3925.456,514.361,0.74,947.05,1462.151,564.197,2026.348,1899.108
2000/01,MY September-August,1717.549,9915.051,6.824,11639.424,1957.616,22.45,5818.902,7798.968,1941.348,9740.316,1899.108
2002/03,Q1 September-November,1596.426,8966.787,3.429,10566.642,552.682,0,1982.563,2535.245,393.426,2928.671,7637.971
2002/03,Q2 December-February,7637.971,0,4.06,7642.031,565.673,0,1554.296,2119.969,390.189,2510.158,5131.873
2002/03,Q3 March-May,5131.873,0,5.152,5137.025,602.594,22.459,1133.64,1758.693,393.414,2152.107,2984.918
2002/03,Q4 June-August,2984.918,0,1.805,2986.723,613.865,1.29,874.037,1489.192,410.858,1900.05,1086.673
2002/03,MY September-August,1596.426,8966.787,14.446,10577.659,2334.814,23.749,5544.536,7903.099,1587.887,9490.986,1086.673
2003/04,Q1 September-November,1086.673,10087.292,2.461,11176.426,592.618,0,2160.484,2753.102,469.549,3222.651,7953.775
2003/04,Q2 December-February,7953.775,0,3.523,7957.298,610.602,0,1569.345,2179.947,505.892,2685.839,5271.459
2003/04,Q3 March-May,5271.459,0,5.123,5276.582,659.364,23.182,1159.002,1841.548,464.894,2306.442,2970.14
2003/04,Q4 June-August,2970.14,0,2.969,2973.109,665.75,0.978,888.808,1555.536,459.482,2015.018,958.091
2003/04,MY September-August,1086.673,10087.292,14.076,11188.041,2528.334,24.16,5777.639,8330.133,1899.817,10229.95,958.091
2004/05,Q1 September-November,958.091,11805.581,1.635,12765.307,645.27,0,2168.659,2813.929,498.89,3312.819,9452.488
2004/05,Q2 December-February,9452.488,0,1.704,9454.192,639.689,0,1618.961,2258.65,439.208,2697.858,6756.334
2004/05,Q3 March-May,6756.334,0,4.006,6760.34,685.998,23.852,1301.264,2011.114,428.413,2439.527,4320.813
2004/05,Q4 June-August,4320.813,0,3.485,4324.298,715.651,0.365,1042.765,1758.781,451.545,2210.326,2113.972
2004/05,MY September-August,958.091,11805.581,10.83,12774.502,2686.608,24.217,6131.649,8842.474,1818.056,10660.53,2113.972
2005/06,Q1 September-November,2113.972,11112.187,2.114,13228.273,706.064,0,2229.923,2935.987,477.329,3413.316,9814.957
2005/06,Q2 December-February,9814.957,0,1.235,9816.192,715.593,0,1639.028,2354.621,474.243,2828.864,6987.328
2005/06,Q3 March-May,6987.328,0,4.137,6991.465,764.738,23.161,1279.491,2067.39,562.376,2629.766,4361.699
2005/06,Q4 June-August,4361.699,0,1.32,4363.019,812.641,0.484,962.87,1775.995,619.863,2395.858,1967.161
2005/06,MY September-August,2113.972,11112.187,8.806,13234.965,2999.036,23.645,6111.312,9133.993,2133.811,11267.804,1967.161
2006/07,Q1 September-November,1967.161,10531.123,1.153,12499.437,811.431,0,2159.36,2970.791,595.939,3566.73,8932.707
2006/07,Q2 December-February,8932.707,0,1.684,8934.391,831.395,0,1521.752,2353.147,512.994,2866.141,6068.25
2006/07,Q3 March-May,6068.25,0,5.476,6073.726,908.496,28.146,1108.372,2045.014,495.269,2540.283,3533.443
2006/07,Q4 June-August,3533.443,0,3.67,3537.113,966.052,0.403,745.844,1712.299,521.167,2233.466,1303.647
2006/07,MY September-August,1967.161,10531.123,11.983,12510.267,3517.374,28.549,5535.328,9081.251,2125.369,11206.62,1303.647
2007/08,Q1 September-November,1303.647,13037.875,2.184,14343.706,985.702,0,2386.76,3372.462,693.159,4065.621,10278.085
2007/08,Q2 December-February,10278.085,0,2.818,10280.903,1045.962,0,1734.113,2780.075,642.106,3422.181,6858.722
2007/08,Q3 March-May,6858.722,0,9.712,6868.434,1167.475,25.162,1064.353,2256.99,583.427,2840.417,4028.017
2007/08,Q4 June-August,4028.017,0,5.307,4033.324,1221.271,1.39,667.803,1890.464,518.71,2409.174,1624.15
2007/08,MY September-August,1303.647,13037.875,20.021,14361.543,4420.41,26.552,5853.029,10299.991,2437.402,12737.393,1624.15
2008/09,Q1 September-November,1624.15,12043.203,2.815,13670.168,1219.244,0,1930.03,3149.274,448.788,3598.062,10072.106
2008/09,Q2 December-February,10072.106,0,4.108,10076.214,1178.244,0,1572.89,2751.134,370.935,3122.069,6954.145
2008/09,Q3 March-May,6954.145,0,5.121,6959.266,1237.611,25.306,941.928,2204.845,492.994,2697.839,4261.427
2008/09,Q4 June-August,4261.427,0,1.486,4262.913,1368.171,1.922,683.279,2053.372,536.23,2589.602,1673.311
2008/09,MY September-August,1624.15,12043.203,13.53,13680.883,5003.27,27.228,5128.127,10158.625,1848.947,12007.572,1673.311
2009/10,Q1 September-November,1673.311,13067.156,0.98,14741.447,1382.029,0,1990.077,3372.106,466.881,3838.987,10902.46
2009/10,Q2 December-February,10902.46,0,1.319,10903.779,1447.24,0,1341.241,2788.481,421.511,3209.992,7693.787
2009/10,Q3 March-May,7693.787,0,3.132,7696.919,1543.148,26.919,1268.128,2838.195,548.653,3386.848,4310.071
2009/10,Q4 June-August,4310.071,0,2.912,4312.983,1566.249,0.836,496.13,2063.215,541.981,2605.196,1707.787
2009/10,MY September-August,1673.311,13067.156,8.343,14748.81,5938.666,27.755,5095.576,11061.997,1979.026,13041.023,1707.787
2010/11,Q1 September-November,1707.787,12425.33,5.321,14138.438,1582.438,0,2047.327,3629.765,451.904,4081.669,10056.769
2010/11,Q2 December-February,10056.769,0,8.464,10065.233,1576.708,0,1562.416,3139.124,402.881,3542.005,6523.228
2010/11,Q3 March-May,6523.228,0,10.384,6533.612,1617.926,26.09,709.088,2353.104,510.176,2863.28,3670.332
2010/11,Q4 June-August,3670.332,0,3.5,3673.832,1625.45,3.486,451.287,2080.223,465.964,2546.187,1127.645
2010/11,MY September-August,1707.787,12425.33,27.669,14160.786,6402.522,29.576,4770.118,11202.216,1830.925,13033.141,1127.645
2012/13,Q1 September-November,989.027,10755.111,34.785,11778.923,1465.621,0,2059.698,3525.319,220.872,3746.191,8032.732
2012/13,Q2 December-February,8032.732,0,45.427,8078.159,1429.84,0,1087.335,2517.175,161.058,2678.233,5399.926
2012/13,Q3 March-May,5399.926,0,40.179,5440.105,1544.98,28.392,914.64,2488.012,185.849,2673.861,2766.244
2012/13,Q4 June-August,2766.244,0,39.555,2805.799,1572.768,2.571,246.966,1822.305,162.309,1984.614,821.185
2012/13,MY September-August,989.027,10755.111,159.946,11904.084,6013.209,30.963,4308.639,10352.811,730.088,11082.899,821.185
2013/14,Q1 September-November,821.185,13830.704,14.525,14666.414,1550.106,0,2313.517,3863.623,350.258,4213.881,10452.533
2013/14,Q2 December-February,10452.533,0,6.567,10459.1,1602.303,0,1457.983,3060.286,389.806,3450.092,7009.008
2013/14,Q3 March-May,7009.008,0,8.583,7017.591,1654.599,28.124,846.908,2529.631,636.244,3165.875,3851.716
2013/14,Q4 June-August,3851.716,0,6.119,3857.835,1694.089,1.598,385.769,2081.456,544.475,2625.931,1231.904
2013/14,MY September-August,821.185,13830.704,35.794,14687.683,6501.097,29.722,5004.177,11534.996,1920.783,13455.779,1231.904
2014/15,Q1 September-November,1231.904,14217.292,5.004,15454.2,1614.701,0,2226.897,3841.598,401.222,4242.82,11211.38
2014/15,Q2 December-February,11211.38,0,5.929,11217.309,1621.427,0,1445.998,3067.425,400.078,3467.503,7749.806
2014/15,Q3 March-May,7749.806,0,9.962,7759.768,1644.987,27.716,1094.289,2766.992,539.788,3306.78,4452.988
2014/15,Q4 June-August,4452.988,0,10.751,4463.739,1684.986,1.539,520.256,2206.781,525.794,2732.575,1731.164
2014/15,MY September-August,1231.904,14217.292,31.646,15480.842,6566.101,29.255,5287.44,11882.796,1866.882,13749.678,1731.164
2015/16,Q1 September-November,1731.164,13601.964,12.888,15346.016,1631.15,0,2178.498,3809.648,301.19,4110.838,11235.178
2015/16,Q2 December-February,11235.178,0,17.697,11252.875,1651.573,0,1437.843,3089.416,341.226,3430.642,7822.233
2015/16,Q3 March-May,7822.233,0,20.627,7842.86,1626.999,27.928,914.201,2569.128,562.653,3131.781,4711.079
2015/16,Q4 June-August,4711.079,0,16.353,4727.432,1706.87,2.627,587.312,2296.809,693.565,2990.374,1737.058
2015/16,MY September-August,1731.164,13601.964,67.565,15400.693,6616.592,30.555,5117.854,11765.001,1898.634,13663.635,1737.058
2016/17,Q1 September-November,1737.058,15148.038,14.271,16899.367,1688.915,0,2278.852,3967.767,548.129,4515.896,12383.471
2016/17,Q2 December-February,12383.471,0,11.79,12395.261,1711.493,0,1523.15,3234.643,538.626,3773.269,8621.992
2016/17,Q3 March-May,8621.992,0,17.346,8639.338,1714.083,27.252,981.553,2722.888,687.368,3410.256,5229.082
